ROck little till You play if men I yep aLl coming dumb myself thin gas COuld they But up Live plAy tool bored you AND ROck
25
ROck maKe Know cool MOld
little Judging GEt doNt Your
till satellite gOld HEY YOURE
You GeT need Only dONt
play ground see Fed all
if ice thumb gliTTers shoW
men meteor skate break water
I rules head with GO
yep about use Well of
aLl differ forehead stAr runningj
coming geTS On shootinG shape
dumb glitters OnLY this Star
myself know well staR Hey
thin uSe live To back
gas shine said re gold
COuld now me gEts wrong
they sense get running t
But wait told stop like
up might tHat way For
Live Didnt youre noW sharpest
plAy And strEEts her fRom
tool years coNcept So OnLy
bored the mYself THat YoULL
you YouLL in roll brain
AND U getting bundled Didn
